driver,team,race_id,year,finish,momentum,adj_finish,adj_start,adj_mid,adj_best,adj_worst,adj_avg,adj_green_flag_passing_diff,adj_green_flag_passes,adj_pct_quality_passes,adj_fastest_lap,adj_pct_top_15_laps,adj_pct_laps_led,adj_rating
AJ Allmendinger,Kaulig Racing,21,2022,7,70.71249999999999,19.981582798815722,20.008072067767976,20.40981909597646,6.602136424221423,32.19407144611675,16.65949742111273,-7.022671457491468,57.07816751797422,26.51992959401834,1.5395769970543816,44.808799058943784,0.8047375367856965,75.33443851677909
AJ Allmendinger,Kaulig Racing,24,2022,2,79.675,16.94955200987978,19.965228857392006,18.694308266343654,5.253503170247033,31.229526515787633,15.205078383723073,-7.797339482776453,63.95401416987274,30.290070105546043,1.6364220563828253,50.80014765047119,1.4342513872098157,80.60865958845883
AJ Allmendinger,Kaulig Racing,31,2022,4,88.13,13.88944140447703,17.12380540819483,16.404933856673136,4.509651745628808,31.876534186818112,14.500891776581735,-2.9730497628661885,70.76740633826418,30.801507318907543,2.6693294516755603,55.63275631795338,1.1553935678563407,85.85959351106708
AJ Allmendinger,Kaulig Racing,34,2022,24,94.2525,17.56630848900093,22.958834346945316,22.347868318472816,12.61791664844117,30.06972562022911,21.07423862578255,0.3344607471395443,61.09712897658608,22.906198493763053,4.820053808407179,29.51414419963156,0.4850471050705854,62.86162935830225
AJ Allmendinger,Kaulig Racing,35,2022,12,86.72,18.774735553540083,22.515411920015843,15.580557899271573,8.57047822539109,29.340200667488848,18.915329729509992,1.8405251063285877,74.62934297420747,28.887690907573806,1.520866927519609,33.420830973709556,0.30159438696447455,65.23204199556433
AJ Allmendinger,Kaulig Racing,39,2023,20,64.3325,17.670559362794144,21.34735264241846,15.507568091411773,7.10610201482517,29.420262726676533,18.486904471401353,2.6368534841374207,81.64642885946704,31.360624176260043,4.273009083897098,37.4870065851042,0.2663593136265204,67.78664421756248
AJ Allmendinger,Kaulig Racing,41,2023,34,58.8825,12.224530030959116,15.420775267135179,14.254330602611635,3.8122452960215076,28.274972924503018,12.789761999408409,-3.488182418289397,67.62874002995015,35.95591071518053,6.279531016373786,62.66411188828853,4.419159667532111,90.97992016519305
AJ Allmendinger,Kaulig Racing,42,2023,27,68.7525,19.48538237748246,22.47390300485,23.901732845322414,14.439487307693287,30.75667502631639,22.312802181021745,0.08108831147318546,59.10757649191773,17.142311645804366,3.695898676399561,21.82432646463778,0.2531025518480634,59.34714142852751
AJ Allmendinger,Kaulig Racing,43,2023,16,62.595000000000006,21.10805210607308,23.006764353393933,24.327651581745485,16.26306198627263,31.674695921585872,23.547652686516706,0.2894882095827621,67.75510167494647,13.484753746424385,3.331211500274669,17.18471059598911,0.20313909066676866,55.04522469762004
AJ Allmendinger,Kaulig Racing,44,2023,27,59.095000000000006,20.179610378787178,24.093234536973508,26.262549925090095,16.030371890715216,32.27771129297519,24.638876636174306,1.1449492543837798,71.44186725311997,11.249848357258774,2.7270509442379254,14.147325750557345,0.16674760255037774,52.68329118088723
AJ Allmendinger,Kaulig Racing,46,2023,18,50.1775,18.334386637752427,21.500347274260335,16.71650863936464,7.984010892640699,29.00655701032121,19.13173738452309,1.861917318626151,82.68920848898586,26.614700569804548,3.5509257097431135,31.03648093258509,0.17838943816422104,65.4446709067221
AJ Allmendinger,Kaulig Racing,47,2023,14,55.5225,12.288219721978757,18.60217349510694,16.248923839671757,4.62827611346623,27.832061714150953,15.54910166110565,11.2285752438614,123.76249865721365,42.89673433010517,4.230012587530029,52.68903045496098,0.2492738905018879,76.97244216254849
AJ Allmendinger,Kaulig Racing,48,2023,23,61.5225,18.261597573110635,22.69621268518218,17.38950382939452,7.040520216990662,29.16242675040931,19.057711129346952,3.0270877131701273,82.5443366471435,25.065287243119467,3.446771200005516,27.01186381002026,0.14813550430062358,64.6952000567554
AJ Allmendinger,Kaulig Racing,49,2023,14,55.42,12.79266068065883,20.765671341452954,17.03919865465804,4.861318379176114,28.40654922527908,16.48689580018052,11.810349009340232,121.78395419422404,33.63962538443215,3.160569921204302,44.72711934349153,0.18517650074743253,73.97133397376189
AJ Allmendinger,Kaulig Racing,50,2023,14,56.862500000000004,18.901798511231558,23.734691276576022,19.147330467509455,9.115696791645485,29.711465750728784,20.300148717195572,2.306486564992545,74.88707074712906,21.53935903936981,3.0953870445554696,23.17444763489148,0.12481764613451492,61.27355763059344
AJ Allmendinger,Kaulig Racing,51,2023,6,59.4075,15.946059026420224,14.214173497176942,12.542862187634336,3.6444393127776777,29.02153252887439,12.93247486674452,-4.119703026093846,63.90614339852544,38.61853599437817,5.461409798643805,66.3690142741029,3.6367202492035915,90.34003502753208
AJ Allmendinger,Kaulig Racing,52,2023,10,67.95,18.239530885965934,22.070843918125817,18.47696367659937,8.323240318976488,29.723712749402978,19.687369272702668,0.912100415526034,71.70210698511957,21.882682731521083,2.7106447291748945,28.20304479886257,0.10651349014607235,62.60272408790847
AJ Allmendinger,Kaulig Racing,53,2023,17,80.4675,14.28907452092772,12.729333902346577,12.60162480364758,3.3807481304998444,28.18569497564258,12.196233484760231,-1.4965321459528234,62.55998560326435,40.50326562749973,5.381538657024017,70.88084962853169,3.020189670215123,91.925800227419
AJ Allmendinger,Kaulig Racing,54,2023,3,86.16,17.56925548150388,24.140616674396767,16.941768076925875,4.660348279721975,33.33842047426942,21.25728106051239,20.841356175159568,291.4784823127402,21.46286608332364,6.628258318090947,27.40080028433367,0.2973810149848104,61.87170750089096
AJ Allmendinger,Kaulig Racing,55,2023,19,95.9725,17.234313466360963,21.66577977747678,17.06549151589539,7.787030247558009,29.267182065941757,18.769060217699394,3.892979984896327,76.87440697885611,24.87739839346377,2.972516134845279,34.79238891798351,0.1013110114091724,66.02424988546136
AJ Allmendinger,Kaulig Racing,57,2023,27,81.435,21.048679843331534,22.42946223485834,24.515440336071233,14.496417170948915,32.38206021170565,23.7181676200553,-0.9513362350055629,70.09604959254116,14.443514151264537,2.68789536254553,17.8692235048561,0.10008904418404325,54.76692776423547
AJ Allmendinger,Kaulig Racing,59,2023,26,60.1875,14.623522703443122,12.338392450340459,12.067679936764032,3.847899791991033,28.316797515009185,12.250212241333537,-0.7926019158165959,59.335132509454155,40.87366785581774,4.5516159580125555,70.20671328348652,2.5737938456846376,90.71012766479052
AJ Allmendinger,Kaulig Racing,60,2023,4,61.355000000000004,16.23456160974189,14.24675663349358,15.715778866362715,4.994151925482844,29.67067444157381,14.299823187906064,-0.9753309415321438,63.260869253014576,35.61032983930937,6.85534637785267,60.660210075160315,2.208762604437229,86.98540731079332
AJ Allmendinger,Kaulig Racing,61,2023,29,70.98,13.906321779974533,22.69779140635561,14.033269464763839,3.674351354041897,30.896597914110156,18.313021898684053,21.59190301500998,259.4896342836878,33.92549342407918,6.285145122620603,40.651923493053545,1.026675138237724,74.14859451120655
AJ Allmendinger,Kaulig Racing,62,2023,13,78.5825,17.443777197451436,20.811411786332965,17.226797367346283,7.874742197726061,29.76465244898769,18.95654637236221,4.437695037535998,81.85626167880922,22.624290716119223,2.7000288403829797,32.14307056192059,0.10268757670042855,65.45520005941617
AJ Allmendinger,Kaulig Racing,63,2023,30,83.25,12.844181465459538,21.67255657891952,17.429288528296468,5.019663816640752,29.392023174457677,17.077772388387046,9.282561182771625,134.5943260305364,30.513764614094264,2.7977184462638833,39.453635119792985,0.1631827630529146,72.18334104803972
