driver_name,driver_id,race_date,series,track_name,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status,stage_1,stage_2,stage_3,team_name,manufacturer,track_type
Ryan Blaney,4023,11/2/2025,Cup,Phoenix Raceway,5,2,1,1,8,3.76,4,35,31,34,97.14285714,43,319,100,20,6.269592476,319,126.02,running,2,2,,Team Penske,Ford,short intermediate
Brad Keselowski,1816,11/2/2025,Cup,Phoenix Raceway,19,19,2,1,27,16.44,10,97,87,28,28.86597938,0,108,33.85579937,6,1.880877743,319,85.57,running,19,18,,RFK Racing,Ford,short intermediate
Kyle Larson,4030,11/2/2025,Cup,Phoenix Raceway,3,4,3,1,34,8.14,-7,44,51,27,61.36363636,9,262,82.13166144,0,0,319,112.14,running,5,4,,Hendrick Motorsports,Chevrolet,short intermediate
Joey Logano,3859,11/2/2025,Cup,Phoenix Raceway,10,9,4,2,12,7.28,8,57,49,54,94.73684211,1,319,100,0,0,319,108.4,running,8,8,,Team Penske,Ford,short intermediate
Kyle Busch,454,11/2/2025,Cup,Phoenix Raceway,11,30,5,4,34,19.98,-7,112,119,30,26.78571429,1,57,17.86833856,0,0,319,77.07,running,20,26,,Richard Childress Racing,Chevrolet,short intermediate
Denny Hamlin,1361,11/2/2025,Cup,Phoenix Raceway,1,1,6,1,12,2.28,15,35,20,30,85.71428571,93,319,100,208,65.20376176,319,140.17,running,3,1,,Joe Gibbs Racing,Toyota,short intermediate
Josh Berry,4123,11/2/2025,Cup,Phoenix Raceway,7,12,7,3,23,8.93,-1,56,57,42,75,0,301,94.35736677,0,0,319,100.83,running,12,12,,Wood Brothers Racing,Ford,short intermediate
Michael McDowell,3832,11/2/2025,Cup,Phoenix Raceway,37,27,8,8,37,24.42,21,93,72,10,10.75268817,0,24,7.523510972,0,0,319,62,running,32,28,,Spire Motorsports,Chevrolet,short intermediate
Ryan Preece,4070,11/2/2025,Cup,Phoenix Raceway,21,28,9,1,30,22.43,-2,101,103,12,11.88118812,0,36,11.28526646,0,0,319,65,running,23,29,,RFK Racing,Ford,short intermediate
Chase Elliott,4062,11/2/2025,Cup,Phoenix Raceway,17,8,10,1,27,12.47,12,86,74,40,46.51162791,8,218,68.33855799,30,9.404388715,319,88.41,running,18,10,,Hendrick Motorsports,Chevrolet,short intermediate
Christopher Bell,4153,11/2/2025,Cup,Phoenix Raceway,20,5,11,5,20,8.62,14,68,54,59,86.76470588,3,313,98.11912226,0,0,319,97.88,running,11,5,,Joe Gibbs Racing,Toyota,short intermediate
Chris Buescher,3989,11/2/2025,Cup,Phoenix Raceway,9,14,12,6,16,12.64,-13,64,77,62,96.875,2,315,98.7460815,0,0,319,81.64,running,9,14,,RFK Racing,Ford,short intermediate
Ross Chastain,4001,11/2/2025,Cup,Phoenix Raceway,13,6,13,2,22,9.2,-3,66,69,57,86.36363636,4,299,93.73040752,0,0,319,93.12,running,16,6,,Trackhouse Racing,Chevrolet,short intermediate
Justin Haley,4172,11/2/2025,Cup,Phoenix Raceway,29,31,14,14,36,27.55,21,129,108,2,1.550387597,8,2,0.626959248,0,0,319,54.57,running,33,30,,Spire Motorsports,Chevrolet,short intermediate
Alex Bowman,4045,11/2/2025,Cup,Phoenix Raceway,8,10,15,3,33,12.64,-17,74,91,51,68.91891892,3,247,77.42946708,0,0,319,87.05,running,7,11,,Hendrick Motorsports,Chevrolet,short intermediate
Erik Jones,4059,11/2/2025,Cup,Phoenix Raceway,15,16,16,11,28,20.37,-16,81,97,19,23.45679012,0,69,21.63009404,0,0,319,63.67,running,27,15,,Legacy Motor Club,Toyota,short intermediate
Ricky Stenhouse Jr.,3888,11/2/2025,Cup,Phoenix Raceway,16,21,17,11,28,19.98,-16,102,118,13,12.74509804,0,54,16.92789969,0,0,319,64.5,running,22,17,,Hyak Motorsports,Chevrolet,short intermediate
Chase Briscoe,4228,11/2/2025,Cup,Phoenix Raceway,12,11,18,1,32,11.93,5,82,77,44,53.65853659,10,243,76.17554859,3,0.940438871,319,86.55,running,10,7,,Joe Gibbs Racing,Toyota,short intermediate
Daniel Suarez,4113,11/2/2025,Cup,Phoenix Raceway,14,23,19,11,28,21.47,-16,114,130,9,7.894736842,0,69,21.63009404,0,0,319,59.33,running,13,23,,Trackhouse Racing,Chevrolet,short intermediate
Austin Dillon,3873,11/2/2025,Cup,Phoenix Raceway,26,20,20,17,35,25.48,-16,96,112,0,0,0,0,0,0,0,319,52.17,running,26,35,,Richard Childress Racing,Chevrolet,short intermediate
Ty Gibbs,4368,11/2/2025,Cup,Phoenix Raceway,25,15,21,10,30,21.13,-10,143,153,22,15.38461538,0,43,13.47962382,0,0,319,58,running,25,21,,Joe Gibbs Racing,Toyota,short intermediate
Todd Gilliland,4231,11/2/2025,Cup,Phoenix Raceway,30,29,22,12,32,19.36,25,126,101,16,12.6984127,0,55,17.24137931,0,0,319,66.67,running,21,22,,Front Row Motorsports,Ford,short intermediate
Riley Herbst,4269,11/2/2025,Cup,Phoenix Raceway,32,24,23,12,33,25.49,-4,115,119,5,4.347826087,0,8,2.507836991,0,0,319,46.17,running,31,24,,23XI Racing,Toyota,short intermediate
Shane Van Gisbergen,4469,11/2/2025,Cup,Phoenix Raceway,31,33,24,24,34,31.29,5,51,46,0,0,1,0,0,0,0,319,40.57,running,30,32,,Trackhouse Racing,Chevrolet,short intermediate
Cole Custer,4104,11/2/2025,Cup,Phoenix Raceway,27,22,25,3,33,25.02,-15,115,130,0,0,0,8,2.507836991,0,0,319,45.33,running,28,25,,Haas Factory Team,Ford,short intermediate
