driver_name,driver_id,race_date,series,track_name,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status,stage_1,stage_2,stage_3,team_name,manufacturer,track_type
AJ Allmendinger,3774,2/20/2024,Cup,Daytona International Speedway,28,33,6,1,39,25.12,-18,252,270,100,39.682539682539684,12,48,24,9,4.5,200,61.2,running,34,9,,Kaulig Racing,Chevrolet,superspeedway
Alex Bowman,4045,2/20/2024,Cup,Daytona International Speedway,7,32,2,1,32,14.42,-7,387,394,265,68.47545219638243,3,132,66,0,0,200,87.95,running,4,18,,Hendrick Motorsports,Chevrolet,superspeedway
Anthony Alfredo,4301,2/20/2024,Cup,Daytona International Speedway,39,21,27,3,40,23.63,-11,380,391,77,20.263157894736842,10,30,15.151515151515152,0,0,198,52.63,running,21,28,,Beard Motorsports,Chevrolet,superspeedway
Austin Cindric,4180,2/20/2024,Cup,Daytona International Speedway,6,7,22,1,30,12.28,-10,412,422,272,66.01941747572816,1,138,69.34673366834171,13,6.532663316582915,199,79.16,running,14,2,,Team Penske,Ford,superspeedway
Austin Dillon,3873,2/20/2024,Cup,Daytona International Speedway,33,37,37,31,38,36.9,-1,15,16,0,0,3,0,0,0,0,146,29.91,running,37,37,,Richard Childress Racing,Chevrolet,superspeedway
Brad Keselowski,1816,2/20/2024,Cup,Daytona International Speedway,16,9,33,1,34,16.16,33,348,315,218,62.64367816091954,5,118,61.78010471204188,3,1.5706806282722514,191,71.5,accident,20,12,,RFK Racing,Ford,superspeedway
Bubba Wallace,4025,2/20/2024,Cup,Daytona International Speedway,24,6,5,1,29,14.12,-2,387,389,221,57.10594315245478,5,115,57.5,3,1.5,200,93.94,running,8,7,,23XI Racing,Toyota,superspeedway
Carson Hocevar,4326,2/20/2024,Cup,Daytona International Speedway,9,40,40,9,35,39.38,-2,11,13,11,100,0,4,80,0,0,5,23.83,accident,39,39,,Spire Motorsports,Chevrolet,superspeedway
Chase Briscoe,4228,2/20/2024,Cup,Daytona International Speedway,20,15,10,1,29,17.9,-14,410,424,154,37.56097561,5,62,31,0,0,200,70.65,running,18,25,,Stewart-Haas Racing,Ford,superspeedway
Chase Elliott,4062,2/20/2024,Cup,Daytona International Speedway,5,25,14,1,30,12.42,-7,384,391,221,57.552083333333336,6,126,63,13,6.5,200,93.7,running,1,19,,Hendrick Motorsports,Chevrolet,superspeedway
Chris Buescher,3989,2/20/2024,Cup,Daytona International Speedway,19,8,18,1,30,15.64,-7,411,418,205,49.87834549878345,0,97,48.5,0,0,200,77.5,running,22,10,,RFK Racing,Ford,superspeedway
Christopher Bell,4153,2/20/2024,Cup,Daytona International Speedway,4,17,3,1,33,13.83,-28,344,372,211,61.33720930232558,5,107,53.5,22,11,200,96.81,running,30,20,,Joe Gibbs Racing,Toyota,superspeedway
Corey LaJoie,4096,2/20/2024,Cup,Daytona International Speedway,29,27,4,1,38,18.48,-7,322,329,134,41.61490683229814,3,75,37.5,1,0.5,200,73.05,running,13,11,,Spire Motorsports,Chevrolet,superspeedway
Daniel Hemric,4093,2/20/2024,Cup,Daytona International Speedway,37,16,16,2,40,17.24,-18,341,359,200,58.651026392961874,3,97,48.5,0,0,200,81.62,running,31,15,,Kaulig Racing,Chevrolet,superspeedway
Daniel Suarez,4113,2/20/2024,Cup,Daytona International Speedway,13,31,34,1,32,18.57,21,381,360,144,37.79527559055118,5,66,34.55497382198953,2,1.0471204188481675,191,67.36,accident,10,3,,Trackhouse Racing,Chevrolet,superspeedway
David Ragan,2674,2/20/2024,Cup,Daytona International Speedway,40,24,20,1,40,19.65,3,316,313,110,34.81012658227848,3,69,34.5,2,1,200,53.81,running,26,26,,RFK Racing,Ford,superspeedway
Denny Hamlin,1361,2/20/2024,Cup,Daytona International Speedway,8,28,19,1,34,15.13,-3,376,379,217,57.712765957446805,9,113,56.5,10,5,200,88.32,running,7,22,,Joe Gibbs Racing,Toyota,superspeedway
Erik Jones,4059,2/20/2024,Cup,Daytona International Speedway,11,23,8,3,31,18.05,11,409,398,139,33.98533007334963,7,72,36,0,0,200,77.34,running,17,13,,Legacy Motor Club,Toyota,superspeedway
Harrison Burton,4217,2/20/2024,Cup,Daytona International Speedway,12,39,39,10,33,38.39,0,11,11,11,100,0,4,80,0,0,5,26.67,accident,38,38,,Wood Brothers Racing,Ford,superspeedway
Jimmie Johnson,1717,2/20/2024,Cup,Daytona International Speedway,23,35,28,21,36,34.89,-10,10,20,0,0,4,0,0,0,0,196,37.22,running,36,35,,Legacy Motor Club,Toyota,superspeedway
Joey Logano,3859,2/20/2024,Cup,Daytona International Speedway,1,2,32,1,29,9.72,-9,309,318,240,77.66990291262135,5,147,76.96335078534031,45,23.56020942408377,191,97.96,accident,11,21,,Team Penske,Ford,superspeedway
John Hunter Nemechek,4092,2/20/2024,Cup,Daytona International Speedway,10,22,7,4,34,24.6,22,279,257,26,9.318996416,11,25,12.5,0,0,200,59.39,running,15,30,,Legacy Motor Club,Toyota,superspeedway
Josh Berry,4123,2/20/2024,Cup,Daytona International Speedway,30,11,25,1,34,22.45,-36,239,275,147,61.50627615062761,4,70,35.175879396984925,1,0.5025125628140703,199,60.65,running,29,33,,Stewart-Haas Racing,Ford,superspeedway
Justin Haley,4172,2/20/2024,Cup,Daytona International Speedway,22,4,26,2,34,21.8,-21,202,223,68,33.663366336633665,3,46,23.115577889447238,0,0,199,70.79,running,25,34,,Rick Ware Racing,Ford,superspeedway
Kaz Grala,4191,2/20/2024,Cup,Daytona International Speedway,26,38,38,26,37,37.86,0,12,12,0,0,0,0,0,0,0,5,26.33,accident,40,40,,Front Row Motorsports,Ford,superspeedway
Kyle Busch,454,2/20/2024,Cup,Daytona International Speedway,34,10,12,1,39,10.58,36,399,363,278,69.67418546365914,7,146,73,12,6,200,101.49,running,6,4,,Richard Childress Racing,Chevrolet,superspeedway
Kyle Larson,4030,2/20/2024,Cup,Daytona International Speedway,17,19,11,1,29,14.38,7,385,378,210,54.54545454545455,2,96,48,7,3.5,200,89.84,running,2,16,,Hendrick Motorsports,Chevrolet,superspeedway
Martin Truex Jr.,3368,2/20/2024,Cup,Daytona International Speedway,27,3,15,1,30,14.03,15,453,438,261,57.615894039735096,3,118,59,0,0,200,90.45,running,9,14,,Joe Gibbs Racing,Toyota,superspeedway
Michael McDowell,3832,2/20/2024,Cup,Daytona International Speedway,2,36,36,1,36,28.82,-29,77,106,72,93.50649350649351,0,43,24.431818181818183,6,3.409090909090909,176,76.86,running,35,36,,Front Row Motorsports,Ford,superspeedway
Noah Gragson,4224,2/20/2024,Cup,Daytona International Speedway,38,13,9,1,38,19.62,8,390,382,154,39.48717948717949,9,73,36.5,5,2.5,200,72.84,running,28,24,,Stewart-Haas Racing,Ford,superspeedway
Ricky Stenhouse Jr.,3888,2/20/2024,Cup,Daytona International Speedway,35,29,31,1,39,20.83,20,387,367,134,34.62532299741602,4,61,31.770833333333332,0,0,192,61.23,accident,19,8,,JTG Daugherty Racing,Chevrolet,superspeedway
Riley Herbst,4269,2/20/2024,Cup,Daytona International Speedway,36,34,24,8,36,26.67,0,178,178,54,30.337078651685392,2,31,15.577889447236181,0,0,199,41.69,running,24,27,,Rick Ware Racing,Ford,superspeedway
Ross Chastain,4001,2/20/2024,Cup,Daytona International Speedway,21,26,21,1,33,16.28,12,369,357,168,45.52845528455285,9,99,49.74874371859296,14,7.035175879396985,199,68.09,running,3,17,,Trackhouse Racing,Chevrolet,superspeedway
Ryan Blaney,4023,2/20/2024,Cup,Daytona International Speedway,32,14,30,1,38,14.97,1,331,330,231,69.78851963746223,7,125,65.10416666666667,12,6.25,192,83.43,accident,32,1,,Team Penske,Ford,superspeedway
Ryan Preece,4070,2/20/2024,Cup,Daytona International Speedway,25,12,23,1,35,24.64,-2,199,201,78,39.19597989949749,5,52,26.13065326633166,0,0,199,50.32,running,27,32,,Stewart-Haas Racing,Ford,superspeedway
Todd Gilliland,4231,2/20/2024,Cup,Daytona International Speedway,31,1,35,1,34,16.94,-9,441,450,220,49.88662131519274,3,92,48.167539267015705,16,8.376963351,191,76.22,accident,33,23,,Front Row Motorsports,Ford,superspeedway
Ty Gibbs,4368,2/20/2024,Cup,Daytona International Speedway,15,20,17,6,33,23.28,-18,305,323,26,8.524590163934427,4,9,4.5,0,0,200,52.05,running,16,31,,Joe Gibbs Racing,Toyota,superspeedway
Tyler Reddick,4065,2/20/2024,Cup,Daytona International Speedway,3,5,29,1,32,11.77,10,406,396,296,72.90640394,1,150,78.125,0,0,192,94.1,accident,12,5,,23XI Racing,Toyota,superspeedway
William Byron,4184,2/20/2024,Cup,Daytona International Speedway,18,30,1,1,34,17.35,51,388,337,178,45.876288659793815,5,91,45.5,4,2,200,86.93,running,5,6,,Hendrick Motorsports,Chevrolet,superspeedway
Zane Smith,4272,2/20/2024,Cup,Daytona International Speedway,14,18,13,4,30,21,-19,266,285,99,37.21804511278196,2,53,26.5,0,0,200,57.36,running,23,29,,Spire Motorsports,Chevrolet,superspeedway
Alex Bowman,4045,2/25/2024,Cup,Atlanta Motor Speedway,17,32,27,17,36,32.06,5,8,3,0,0,6,0,0,0,0,255,36.9,running,34,32,,Hendrick Motorsports,Chevrolet,superspeedway
Austin Cindric,4180,2/25/2024,Cup,Atlanta Motor Speedway,8,2,4,1,27,8.24,15,283,268,219,77.38515901,3,233,89.61538461538461,32,12.307692307692308,260,98.8,running,18,1,,Team Penske,Ford,superspeedway
Austin Dillon,3873,2/25/2024,Cup,Atlanta Motor Speedway,10,24,22,5,34,25.24,-16,67,83,7,10.447761194029852,4,6,2.3076923076923075,0,0,260,46.04,running,32,18,,Richard Childress Racing,Chevrolet,superspeedway
BJ McLeod,3973,2/25/2024,Cup,Atlanta Motor Speedway,36,23,24,11,36,26.73,0,82,82,0,0,7,2,0.7782101167315175,0,0,257,48,running,29,30,,Live Fast Motorsports,Chevrolet,superspeedway
