driver,team,race_id,year,finish,finish_ytd,start_ytd,mid_ytd,best_ytd,worst_ytd,avg_ytd,green_flag_passing_diff_ytd,green_flag_passes_ytd,pct_quality_passes_ytd,fastest_lap_ytd,pct_top_15_laps_ytd,pct_laps_led_ytd,rating_ytd,prev_year_rating
AJ Allmendinger,Kaulig Racing,21,2022,7,21.0,23.6,19.6,10.3,31.3,20.029999999999998,-1.1,59.2,22.254072148835025,2.1,30.275187579896702,0.29411764705882354,64.02700000000002,
AJ Allmendinger,Kaulig Racing,24,2022,2,19.727272727272727,23.272727272727273,19.0,9.454545454545455,31.0,19.172727272727272,-1.9090909090909092,61.72727272727273,24.097223374594012,2.090909090909091,33.865392514493834,0.5845044148737719,67.05818181818182,
AJ Allmendinger,Kaulig Racing,28,2022,7,18.25,21.833333333333332,18.0,8.833333333333334,31.333333333333332,18.5875,-0.25,64.66666666666667,24.66644101434004,2.5,37.15438758273046,0.5357957136342909,70.33333333333334,
AJ Allmendinger,Kaulig Racing,31,2022,4,17.384615384615383,21.153846153846153,17.846153846153847,8.384615384615385,30.846153846153847,18.165384615384614,-0.7692307692307693,67.61538461538461,26.652517620406492,2.5384615384615383,38.988665460981956,0.4945806587393455,71.15076923076924,
AJ Allmendinger,Kaulig Racing,32,2022,9,16.428571428571427,20.142857142857142,16.714285714285715,7.857142857142857,29.357142857142858,17.10928571428571,-1.3571428571428572,64.64285714285714,29.144370757410424,4.071428571428571,43.34661792805468,1.9898657137273512,74.56714285714285,
AJ Allmendinger,Kaulig Racing,33,2022,3,15.933333333333334,20.2,16.6,7.6,29.0,17.008,-0.06666666666666667,68.93333333333334,30.25050831415154,4.0,44.25209932960509,1.857207999478861,74.61200000000001,
AJ Allmendinger,Kaulig Racing,34,2022,24,15.125,19.5625,16.25,7.25,28.5625,16.453125,1.3125,71.6875,33.28241791619848,4.3125,47.642710162703274,1.7411324995114323,76.31312499999999,
AJ Allmendinger,Kaulig Racing,35,2022,12,15.647058823529411,19.647058823529413,16.941176470588236,8.058823529411764,28.764705882352942,16.971176470588233,1.1764705882352942,69.47058823529412,31.324628627010338,4.0588235294117645,44.84019780019132,1.6387129407166423,74.81411764705881,
AJ Allmendinger,Kaulig Racing,46,2023,18,22.9,20.4,21.0,7.9,33.3,22.421999999999997,4.4,160.0,22.17102416826515,3.1,27.24298738804189,0.04716981132075472,58.75,75.19388888888888
AJ Allmendinger,Kaulig Racing,47,2023,14,22.454545454545453,21.181818181818183,21.0,7.363636363636363,33.0,22.08,4.818181818181818,152.8181818181818,21.726744754539585,3.090909090909091,25.267605303779252,0.04288164665523156,58.92272727272727,75.19388888888888
AJ Allmendinger,Kaulig Racing,48,2023,23,21.75,21.666666666666668,20.833333333333332,7.166666666666667,32.75,21.819166666666664,5.583333333333333,150.0,20.47640678129714,2.8333333333333335,25.00341971822711,0.03930817610062893,59.512499999999996,75.19388888888888
AJ Allmendinger,Kaulig Racing,49,2023,14,21.846153846153847,22.307692307692307,21.53846153846154,8.307692307692308,32.76923076923077,22.291538461538458,5.0,140.3846153846154,18.90129856735121,2.6923076923076925,23.08007973990195,0.036284470246734396,58.03,75.19388888888888
AJ Allmendinger,Kaulig Racing,50,2023,14,21.285714285714285,22.642857142857142,21.428571428571427,8.214285714285714,32.857142857142854,22.178571428571423,4.5,143.14285714285714,18.628620018446234,2.5714285714285716,22.306502615623238,0.03369272237196765,58.21071428571429,75.19388888888888
AJ Allmendinger,Kaulig Racing,51,2023,6,20.8,21.866666666666667,20.933333333333334,7.866666666666666,32.666666666666664,21.750666666666664,3.6,137.0,18.95533946819688,2.4,24.907193936447257,0.031446540880503145,59.05200000000001,75.19388888888888
AJ Allmendinger,Kaulig Racing,52,2023,10,19.875,20.8125,20.4375,7.5,32.125,20.917499999999997,4.0625,131.8125,20.89563075143457,2.5625,29.202767042692034,0.0294811320754717,61.621875,75.19388888888888
AJ Allmendinger,Kaulig Racing,53,2023,17,19.294117647058822,20.705882352941178,19.647058823529413,7.294117647058823,31.764705882352942,20.407647058823528,5.352941176470588,130.88235294117646,22.354102776198054,2.7058823529411766,32.347702314690544,0.02774694783573807,63.309411764705885,75.19388888888888
AJ Allmendinger,Kaulig Racing,54,2023,3,19.166666666666668,20.11111111111111,19.055555555555557,7.277777777777778,31.61111111111111,19.978888888888886,5.166666666666667,125.44444444444444,23.46911053442274,2.5555555555555554,34.25431144535588,0.02620545073375262,64.42166666666667,75.19388888888888
AJ Allmendinger,Kaulig Racing,55,2023,19,18.31578947368421,20.05263157894737,18.31578947368421,6.947368421052632,31.210526315789473,19.44210526315789,6.157894736842105,127.63157894736842,26.015804055242597,2.6842105263157894,36.66197926402136,0.19552322928688373,66.82473684210525,75.19388888888888
AJ Allmendinger,Kaulig Racing,56,2023,17,18.35,19.75,18.3,7.05,31.35,19.497499999999995,6.3,127.1,24.92868906615568,2.55,35.360441762614315,0.18574706782253952,66.475,75.19388888888888
AJ Allmendinger,Kaulig Racing,57,2023,27,18.285714285714285,19.571428571428573,18.61904761904762,6.904761904761905,31.38095238095238,19.37142857142857,6.809523809523809,126.61904761904762,25.206810099635444,2.4761904761904763,35.96827786915649,0.17690196935479957,66.76190476190474,75.19388888888888
AJ Allmendinger,Kaulig Racing,58,2023,26,18.681818181818183,20.318181818181817,18.818181818181817,7.136363636363637,31.59090909090909,19.575,7.0,126.5,24.13435978718867,2.4545454545454546,34.34474826448647,0.1688609707477632,65.9131818181818,75.19388888888888
AJ Allmendinger,Kaulig Racing,59,2023,26,19.0,20.47826086956522,18.434782608695652,7.0,31.52173913043478,19.536521739130432,6.043478260869565,125.1304347826087,24.732637050445913,2.347826086956522,34.577519751348426,0.16151918941090396,65.67043478260868,75.19388888888888
AJ Allmendinger,Kaulig Racing,60,2023,4,19.291666666666668,20.708333333333332,19.25,7.208333333333333,31.791666666666668,19.83875,5.708333333333333,123.5,23.84745934388664,3.125,33.23967042014513,0.1547892231854496,65.62166666666667,75.19388888888888
AJ Allmendinger,Kaulig Racing,61,2023,29,18.68,20.12,18.68,6.96,30.8,19.2212,5.6,119.24,24.540619793731175,3.28,35.910083603339324,0.23748654314692053,67.4368,75.19388888888888
AJ Allmendinger,Kaulig Racing,62,2023,13,19.076923076923077,20.0,18.923076923076923,6.730769230769231,31.0,19.334615384615383,5.230769230769231,123.61538461538461,25.462051881558946,3.3461538461538463,35.6106573109032,0.42066013764126975,67.8623076923077,75.19388888888888
AJ Allmendinger,Kaulig Racing,63,2023,30,18.85185185185185,19.85185185185185,18.85185185185185,6.518518518518518,30.962962962962962,19.134444444444444,5.185185185185185,124.81481481481481,26.03848110911754,3.3333333333333335,36.945896867558616,0.40508013254344494,68.27481481481482,75.19388888888888
AJ Allmendinger,Kaulig Racing,64,2023,30,19.25,19.928571428571427,18.964285714285715,6.571428571428571,31.035714285714285,19.25464285714286,4.571428571428571,122.92857142857143,26.29901154569668,3.5714285714285716,36.807925792535706,0.3906129849526076,68.07464285714286,75.19388888888888
AJ Allmendinger,Kaulig Racing,65,2023,29,19.620689655172413,20.0,19.482758620689655,7.0344827586206895,31.20689655172414,19.68344827586207,4.103448275862069,119.17241379310344,25.39214907860369,3.5172413793103448,35.53868697210344,0.37714357167837975,66.81034482758622,75.19388888888888
AJ Allmendinger,Kaulig Racing,66,2023,21,19.933333333333334,19.533333333333335,19.266666666666666,6.833333333333333,31.133333333333333,19.559000000000005,3.433333333333333,117.0,26.274139171045295,3.4,36.15798564166077,0.37764401471393705,66.77533333333334,75.19388888888888
AJ Allmendinger,Kaulig Racing,67,2023,1,19.967741935483872,19.903225806451612,19.580645161290324,6.709677419354839,31.35483870967742,19.805806451612906,3.4193548387096775,131.06451612903226,25.58991826679353,3.3870967741935485,35.163184457612694,0.3654619497231649,65.97516129032259,75.19388888888888
AJ Allmendinger,Kaulig Racing,68,2023,21,19.375,19.46875,19.03125,6.53125,31.0,19.308749999999996,2.96875,128.6875,25.8129605936835,3.8125,37.10332576900038,1.6728486032438572,68.3653125,75.19388888888888
AJ Allmendinger,Kaulig Racing,69,2023,5,19.424242424242426,19.545454545454547,19.303030303030305,6.666666666666667,31.12121212121212,19.450909090909086,2.8181818181818183,128.42424242424244,25.03074966660218,3.696969696969697,36.024380362085935,1.6221562213273766,68.08666666666667,75.19388888888888
AJ Allmendinger,Kaulig Racing,70,2023,28,19.0,19.705882352941178,19.029411764705884,6.5588235294117645,30.941176470588236,19.213529411764704,3.323529411764706,128.08823529411765,26.003952856397945,3.6470588235294117,37.5314843985833,1.5744457442295126,68.73058823529412,75.19388888888888
AJ Allmendinger,Kaulig Racing,71,2023,32,19.257142857142856,19.857142857142858,19.34285714285714,6.9714285714285715,30.942857142857143,19.49228571428571,2.942857142857143,124.91428571428571,25.260982774786573,3.5428571428571427,36.459156272909496,1.5294615801086695,67.83342857142857,75.19388888888888
AJ Allmendinger,Kaulig Racing,95,2024,30,19.7,21.7,21.7,6.6,34.5,21.312,-3.7,83.4,24.36978192980604,2.3,37.138803250872854,0.7529387530898105,64.512,66.89527777777778
AJ Allmendinger,Kaulig Racing,99,2024,36,20.636363636363637,22.90909090909091,21.0,6.545454545454546,34.63636363636363,21.599999999999998,-1.8181818181818181,81.72727272727273,24.811689866257243,2.272727272727273,35.71709386442987,0.6844897755361914,63.03090909090909,66.89527777777778
AJ Allmendinger,Kaulig Racing,100,2024,23,21.916666666666668,21.5,22.25,6.416666666666667,34.583333333333336,22.655833333333334,-4.166666666666667,75.0,31.077382377402472,2.0833333333333335,39.68511382017182,0.6274489609081754,60.1675,66.89527777777778
AJ Allmendinger,Kaulig Racing,102,2024,28,22.0,21.307692307692307,22.153846153846153,7.230769230769231,33.76923076923077,22.550769230769234,-4.3076923076923075,76.07692307692308,28.686814502217665,2.0,36.63241275708168,0.5791836562229311,59.926923076923075,66.89527777777778
AJ Allmendinger,Kaulig Racing,103,2024,6,22.428571428571427,21.571428571428573,22.857142857142858,6.785714285714286,34.142857142857146,22.75,-3.7857142857142856,105.14285714285714,28.575052981281384,2.857142857142857,35.348158255928176,0.8708999975641503,59.083571428571425,66.89527777777778
AJ Allmendinger,Kaulig Racing,105,2024,8,21.333333333333332,20.333333333333332,21.4,6.4,33.46666666666667,21.63533333333333,-1.7333333333333334,105.13333333333334,29.654176433322945,2.933333333333333,39.23014648229138,1.6691091108763874,62.73266666666667,66.89527777777778
AJ Allmendinger,Kaulig Racing,119,2025,38,19.3,15.0,18.6,6.0,31.3,17.759999999999998,1.5,123.3,35.375724142399996,5.5,43.381194018,0.2105263158,68.645,64.30125000000001
AJ Allmendinger,Kaulig Racing,120,2025,4,21.0,16.636363636363637,20.363636363636363,8.0,31.454545454545453,19.582727272727272,1.3636363636363635,112.81818181818181,32.159749220363636,5.0,39.43744910727273,0.1913875598181818,64.51090909090908,64.30125000000001
AJ Allmendinger,Kaulig Racing,121,2025,20,19.583333333333332,15.666666666666666,19.166666666666668,7.5,31.25,18.51,1.75,113.83333333333333,35.613103452,5.583333333333333,44.23432834833333,0.17543859650000002,68.47666666666666,64.30125000000001
AJ Allmendinger,Kaulig Racing,122,2025,17,19.615384615384617,15.76923076923077,19.846153846153847,8.153846153846153,31.76923076923077,19.203846153846154,2.8461538461538463,114.92307692307692,32.873633955692306,5.3076923076923075,40.83168770615384,0.16194331984615384,67.16846153846153,64.30125000000001
AJ Allmendinger,Kaulig Racing,123,2025,13,19.428571428571427,16.0,20.071428571428573,8.428571428571429,31.785714285714285,19.160714285714285,4.785714285714286,115.5,31.454669393142858,4.928571428571429,40.48656715571428,0.15037593985714287,67.87071428571429,64.30125000000001
AJ Allmendinger,Kaulig Racing,124,2025,21,19.0,15.466666666666667,20.333333333333332,8.2,31.866666666666667,19.100666666666665,8.733333333333333,114.6,30.730240452933334,4.666666666666667,40.45412934533333,0.1403508772,68.128,64.30125000000001
AJ Allmendinger,Kaulig Racing,125,2025,12,19.125,16.5625,20.875,7.9375,32.0625,19.513125000000002,11.0,115.3125,29.156822646875,4.375,38.23824626125,0.131578947375,66.69312500000001,64.30125000000001
AJ Allmendinger,Kaulig Racing,126,2025,6,18.705882352941178,16.823529411764707,20.705882352941178,7.882352941176471,32.35294117647059,19.351176470588236,10.529411764705882,118.6470588235294,30.314492450000003,4.470588235294118,38.50024987470588,0.12383900929411765,67.19411764705883,64.30125000000001
AJ Allmendinger,Kaulig Racing,127,2025,18,18.0,16.77777777777778,19.666666666666668,7.5,31.444444444444443,18.66777777777778,9.722222222222221,113.38888888888889,33.72294657333334,4.277777777777778,41.916902659444446,0.2651072125,69.09166666666667,64.30125000000001
