driver_name,driver_id,race_date,series,track_name,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status,stage_1,stage_2,stage_3,team_name,manufacturer,track_type
Alex Bowman,4045,2/20/2022,Cup,Daytona International Speedway,2,34,24,2,36,27.12,-5,132,137,73,55.303030303030305,6,34,17.258883248730964,0,0,197,65.83,running,17,34,,Hendrick Motorsports,Chevrolet,superspeedway
Aric Almirola,40,2/20/2022,Cup,Daytona International Speedway,38,11,5,3,38,15.87,8,244,236,97,39.75409836065574,4,104,51.74129353233831,0,0,201,80.27,running,29,16,,Stewart-Haas Racing,Ford,superspeedway
Austin Cindric,4180,2/20/2022,Cup,Daytona International Speedway,5,2,1,1,33,6.21,-13,168,181,125,74.4047619,0,176,87.56218905472637,21,10.447761194029852,201,122.38,running,19,6,,Team Penske,Ford,superspeedway
Austin Dillon,3873,2/20/2022,Cup,Daytona International Speedway,36,26,25,2,37,27.14,7,139,132,14,10.071942446043165,3,10,5.0761421319796955,1,0.5076142131979695,197,43.01,running,6,29,,Richard Childress Racing,Chevrolet,superspeedway
BJ McLeod,3973,2/20/2022,Cup,Daytona International Speedway,37,32,27,7,38,32.34,-6,51,57,0,0,2,2,1.0204081632653061,0,0,196,35.73,running,35,33,,Live Fast Motorsports,Ford,superspeedway
Brad Keselowski,1816,2/20/2022,Cup,Daytona International Speedway,3,5,9,1,23,4.82,1,171,170,148,86.54970760233918,4,198,98.50746268656717,67,33.333333333333336,201,121.29,running,2,4,,RFK Racing,Ford,superspeedway
Bubba Wallace,4025,2/20/2022,Cup,Daytona International Speedway,16,19,2,1,23,10.22,16,253,237,191,75.49407114624506,7,145,72.13930348258707,12,5.970149253731344,201,104.71,running,18,3,,23XI Racing,Toyota,superspeedway
Chase Briscoe,4228,2/20/2022,Cup,Daytona International Speedway,9,10,3,3,38,18.26,17,209,192,70,33.49282296650718,6,88,43.78109452736319,0,0,201,75,running,31,21,,Stewart-Haas Racing,Ford,superspeedway
Chase Elliott,4062,2/20/2022,Cup,Daytona International Speedway,11,23,10,2,26,16.09,-2,249,251,131,52.610441767068274,6,93,46.26865671641791,0,0,201,72.5,running,10,20,,Hendrick Motorsports,Chevrolet,superspeedway
Chris Buescher,3989,2/20/2022,Cup,Daytona International Speedway,4,3,16,1,34,7.87,-13,161,174,136,84.47204969,1,173,86.5,0,0,200,97.44,running,33,7,,RFK Racing,Ford,superspeedway
Christopher Bell,4153,2/20/2022,Cup,Daytona International Speedway,12,35,34,2,35,25.85,4,105,101,102,97.14285714285714,0,62,40.78947368421053,0,0,152,71.33,accident,15,35,,Joe Gibbs Racing,Toyota,superspeedway
Cody Ware,4125,2/20/2022,Cup,Daytona International Speedway,32,28,17,12,39,27.12,-22,57,79,0,0,4,0,0,0,0,200,48.62,running,27,25,,Rick Ware Racing,Ford,superspeedway
Cole Custer,4104,2/20/2022,Cup,Daytona International Speedway,31,7,20,3,37,22.29,-17,127,144,22,17.322834645669293,3,47,23.618090452261306,0,0,199,55.17,running,30,31,,Stewart-Haas Racing,Ford,superspeedway
Corey LaJoie,4096,2/20/2022,Cup,Daytona International Speedway,24,25,14,1,36,25.18,-4,92,96,0,0,2,7,3.482587064676617,0,0,201,57.23,running,20,23,,Spire Motorsports,Chevrolet,superspeedway
Daniel Hemric,4093,2/20/2022,Cup,Daytona International Speedway,33,24,12,2,40,26.41,-2,96,98,28,29.166666666666668,7,20,9.950248756218905,0,0,201,60.63,running,36,22,,Kaulig Racing,Chevrolet,superspeedway
Daniel Suarez,4113,2/20/2022,Cup,Daytona International Speedway,21,22,18,5,32,21.33,-27,156,183,65,41.666666666666664,4,30,15.075376884422111,0,0,199,58.95,running,26,28,,Trackhouse Racing,Chevrolet,superspeedway
David Ragan,2674,2/20/2022,Cup,Daytona International Speedway,34,29,8,2,38,25.2,-9,110,119,8,7.2727272727272725,6,18,8.955223880597014,0,0,201,63.67,running,25,24,,Rick Ware Racing,Ford,superspeedway
Denny Hamlin,1361,2/20/2022,Cup,Daytona International Speedway,30,36,37,1,30,28.56,21,121,100,59,48.760330578512395,1,39,61.904761904761905,0,0,63,54.51,accident,14,39,,Joe Gibbs Racing,Toyota,superspeedway
Erik Jones,4059,2/20/2022,Cup,Daytona International Speedway,13,17,29,1,30,12.13,-21,216,237,138,63.888888888888886,6,125,65.44502617801047,3,1.5706806282722514,191,81.01,accident,8,12,,Petty GMS Motorsports,Chevrolet,superspeedway
Greg Biffle,243,2/20/2022,Cup,Daytona International Speedway,28,40,36,25,40,37.52,-11,39,50,0,0,1,0,0,0,0,136,27.49,running,40,36,,NY Racing Team,Chevrolet,superspeedway
