driver_name,driver_id,race_date,series,track_name,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status,stage_1,stage_2,stage_3,team_name,manufacturer,track_type
Chris Buescher,3989,2/26/2023,Cup,Auto Club Speedway,5,11,13,3,33,16.21,-14,120,134,59,49.166666666666664,1,124,62,0,0,200,72.45,running,25,12,,RFK Racing,Ford,long intermediate
Christopher Bell,4153,2/26/2023,Cup,Auto Club Speedway,1,31,32,1,32,24.85,-5,63,68,19,30.158730158730158,0,37,42.04545454545455,1,1.1363636363636365,88,49.83,accident,24,35,,Joe Gibbs Racing,Toyota,long intermediate
Cody Ware,4125,2/26/2023,Cup,Auto Club Speedway,11,29,27,11,36,30.82,-29,12,41,0,0,0,0,0,0,0,195,31.17,running,35,30,,Rick Ware Racing,Ford,long intermediate
Corey LaJoie,4096,2/26/2023,Cup,Auto Club Speedway,12,18,14,5,32,14.36,-2,123,125,70,56.91056910569106,1,136,68,0,0,200,76.28,running,12,10,,Spire Motorsports,Chevrolet,long intermediate
Daniel Suarez,4113,2/26/2023,Cup,Auto Club Speedway,7,6,4,1,33,7.74,22,98,76,71,72.44897959183673,9,177,88.5,0,0,200,113.86,running,3,5,,Trackhouse Racing,Chevrolet,long intermediate
Denny Hamlin,1361,2/26/2023,Cup,Auto Club Speedway,13,2,6,1,20,6.43,17,98,81,79,80.61224489795919,10,192,96,11,5.5,200,106.28,running,5,6,,Joe Gibbs Racing,Toyota,long intermediate
Erik Jones,4059,2/26/2023,Cup,Auto Club Speedway,34,12,19,6,34,16.19,-1,127,128,50,39.37007874015748,0,104,52,0,0,200,63.5,running,14,19,,Legacy Motor Club,Chevrolet,long intermediate
Harrison Burton,4217,2/26/2023,Cup,Auto Club Speedway,24,19,15,1,32,21.2,-9,128,137,19,14.84375,1,18,9,0,0,200,59.95,running,28,20,,Wood Brothers Racing,Ford,long intermediate
JJ Yeley,3669,2/26/2023,Cup,Auto Club Speedway,22,25,23,16,35,26.78,-20,59,79,0,0,0,0,0,0,0,199,38.33,running,32,26,,Rick Ware Racing,Ford,long intermediate
Joey Logano,3859,2/26/2023,Cup,Auto Club Speedway,3,3,10,1,26,4.55,-8,80,88,54,67.5,12,196,98,19,9.5,200,111.76,running,7,3,,Team Penske,Ford,long intermediate
Justin Haley,4172,2/26/2023,Cup,Auto Club Speedway,29,22,21,10,29,22,14,139,125,2,1.4388489208633093,0,9,4.522613065326633,0,0,199,52,running,21,23,,Kaulig Racing,Chevrolet,long intermediate
Kevin Harvick,1416,2/26/2023,Cup,Auto Club Speedway,10,7,5,1,28,9.04,8,109,101,72,66.05504587155963,11,176,88,5,2.5,200,103.42,running,8,4,,Stewart-Haas Racing,Ford,long intermediate
Kyle Busch,454,2/26/2023,Cup,Auto Club Speedway,21,5,1,1,32,6.91,39,126,87,66,52.38095238095238,23,171,85.5,27,13.5,200,124.92,running,11,2,,Richard Childress Racing,Chevrolet,long intermediate
Kyle Larson,4030,2/26/2023,Cup,Auto Club Speedway,15,35,29,7,36,31.76,-15,23,38,16,69.56521739130434,22,11,5.945945945945946,0,0,185,47.61,running,36,31,,Hendrick Motorsports,Chevrolet,long intermediate
Martin Truex Jr.,3368,2/26/2023,Cup,Auto Club Speedway,14,30,11,4,35,19.21,51,105,54,44,41.904761904761905,1,93,46.5,0,0,200,82.28,running,9,28,,Joe Gibbs Racing,Toyota,long intermediate
Michael McDowell,3832,2/26/2023,Cup,Auto Club Speedway,26,16,18,1,31,18.56,-4,125,129,17,13.6,0,42,21,6,3,200,59.02,running,26,18,,Front Row Motorsports,Ford,long intermediate
Noah Gragson,4224,2/26/2023,Cup,Auto Club Speedway,20,26,22,1,28,20.51,-19,116,135,31,26.724137931034484,0,42,21.105527638190956,1,0.5025125628140703,199,49.67,running,27,27,,Legacy Motor Club,Chevrolet,long intermediate
Ricky Stenhouse Jr.,3888,2/26/2023,Cup,Auto Club Speedway,2,10,12,2,24,12.48,-15,113,128,84,74.33628318584071,2,182,91,0,0,200,83.56,running,15,13,,JTG Daugherty Racing,Chevrolet,long intermediate
Ross Chastain,4001,2/26/2023,Cup,Auto Club Speedway,8,1,3,1,23,2.95,7,49,42,34,69.38775510204081,22,192,96,91,45.5,200,137.58,running,1,1,,Trackhouse Racing,Chevrolet,long intermediate
Ryan Blaney,4023,2/26/2023,Cup,Auto Club Speedway,9,28,26,1,30,18.82,15,44,29,28,63.63636363636363,11,73,37.244897959183675,16,8.163265306,196,72.1,running,2,29,,Team Penske,Ford,long intermediate
Ryan Preece,4070,2/26/2023,Cup,Auto Club Speedway,27,32,33,1,31,27.62,-14,85,99,2,2.3529411764705883,0,10,11.494252873563218,0,0,87,32.67,accident,17,33,,Stewart-Haas Racing,Ford,long intermediate
Todd Gilliland,4231,2/26/2023,Cup,Auto Club Speedway,25,20,17,5,35,23.53,-11,98,109,11,11.224489795918368,0,11,5.5,0,0,200,52,running,29,21,,Front Row Motorsports,Ford,long intermediate
Ty Dillon,4013,2/26/2023,Cup,Auto Club Speedway,36,23,31,17,36,28.54,-12,67,79,0,0,0,0,0,0,0,140,37,engine,30,22,,Spire Motorsports,Chevrolet,long intermediate
Ty Gibbs,4368,2/26/2023,Cup,Auto Club Speedway,23,21,16,7,29,18.2,-1,145,146,27,18.620689655172413,1,43,21.5,0,0,200,62.28,running,19,17,,Joe Gibbs Racing,Toyota,long intermediate
Tyler Reddick,4065,2/26/2023,Cup,Auto Club Speedway,35,33,34,14,35,28.35,23,177,154,2,1.1299435028248588,0,0,0,0,0,87,41.5,accident,16,34,,23XI Racing,Toyota,long intermediate
William Byron,4184,2/26/2023,Cup,Auto Club Speedway,32,4,25,1,32,12.06,-4,98,102,56,57.142857142857146,2,143,72.22222222222223,0,0,198,74.4,running,6,14,,Hendrick Motorsports,Chevrolet,long intermediate
AJ Allmendinger,3774,3/5/2023,Cup,Las Vegas Motor Speedway,23,20,18,5,34,18.97,3,143,140,31,21.678321678321677,1,59,21.771217712177123,0,0,271,63.9,running,20,19,,Kaulig Racing,Chevrolet,intermediate
Alex Bowman,4045,3/5/2023,Cup,Las Vegas Motor Speedway,11,4,3,1,19,6.23,8,87,79,66,75.86206896551724,28,266,98.15498155,2,0.7380073800738007,271,110.46,running,7,3,,Hendrick Motorsports,Chevrolet,intermediate
Aric Almirola,40,3/5/2023,Cup,Las Vegas Motor Speedway,21,16,16,7,31,17.54,-4,128,132,30,23.4375,1,70,25.830258302583026,0,0,271,71.24,running,19,16,,Stewart-Haas Racing,Ford,intermediate
Austin Cindric,4180,3/5/2023,Cup,Las Vegas Motor Speedway,9,23,6,5,34,18.29,-1,102,103,23,22.54901960784314,1,82,30.25830258302583,0,0,271,75.91,running,17,22,,Team Penske,Ford,intermediate
Austin Dillon,3873,3/5/2023,Cup,Las Vegas Motor Speedway,26,27,27,7,32,26.82,2,110,108,5,4.545454545454546,0,3,1.1152416356877324,0,0,269,43,running,25,27,,Richard Childress Racing,Chevrolet,intermediate
BJ McLeod,3973,3/5/2023,Cup,Las Vegas Motor Speedway,36,33,32,3,36,33.03,4,62,58,8,12.903225806451612,0,4,1.5037593984962405,0,0,266,27.17,running,35,33,,Live Fast Motorsports,Chevrolet,intermediate
Brad Keselowski,1816,3/5/2023,Cup,Las Vegas Motor Speedway,7,8,17,1,21,10.67,-5,117,122,72,61.53846153846154,4,226,83.39483394833948,5,1.845018450184502,271,80.64,running,10,9,,RFK Racing,Ford,intermediate
Bubba Wallace,4025,3/5/2023,Cup,Las Vegas Motor Speedway,13,6,4,2,18,7.81,14,131,117,100,76.33587786259542,9,270,99.63099631,0,0,271,101.64,running,8,6,,23XI Racing,Toyota,intermediate
Chase Briscoe,4228,3/5/2023,Cup,Las Vegas Motor Speedway,20,31,28,14,32,26.38,-15,91,106,0,0,0,0,0,0,0,269,43.33,running,27,29,,Stewart-Haas Racing,Ford,intermediate
Chris Buescher,3989,3/5/2023,Cup,Las Vegas Motor Speedway,18,17,21,11,30,19.79,-1,123,124,13,10.56910569105691,9,20,7.407407407407407,0,0,270,59.66,running,15,23,,RFK Racing,Ford,intermediate
Christopher Bell,4153,3/5/2023,Cup,Las Vegas Motor Speedway,10,3,5,3,24,8.11,6,122,116,72,59.01639344262295,5,235,86.71586715867159,0,0,271,101.03,running,4,5,,Joe Gibbs Racing,Toyota,intermediate
Cody Ware,4125,3/5/2023,Cup,Las Vegas Motor Speedway,30,36,35,26,36,35.54,-6,20,26,0,0,0,0,0,0,0,259,23.67,running,36,36,,Rick Ware Racing,Ford,intermediate
Corey LaJoie,4096,3/5/2023,Cup,Las Vegas Motor Speedway,19,21,20,8,27,19.96,-7,102,109,3,2.9411764705882355,0,10,3.7037037037037037,0,0,270,56.17,running,22,20,,Spire Motorsports,Chevrolet,intermediate
Daniel Suarez,4113,3/5/2023,Cup,Las Vegas Motor Speedway,24,13,10,4,24,13.54,7,135,128,74,54.81481481481482,7,172,63.46863468634686,0,0,271,81.83,running,16,11,,Trackhouse Racing,Chevrolet,intermediate
