driver,race_id,finish,momentum,adj_finish,adj_start,adj_mid,adj_best,adj_worst,adj_avg,adj_green_flag_passing_diff,adj_green_flag_passes,adj_green_flag_times_passed,adj_quality_passes,adj_pct_quality_passes,adj_fastest_lap,adj_top_15_laps,adj_pct_top_15_laps,adj_laps_led,adj_pct_laps_led,adj_rating
AJ Allmendinger,3,20,69.30755638397018,19.15228331780056,19.15712954333644,19.1524697110904,6.140540540540541,31.183038210624417,19.14901025163094,-0.005964585274930103,115.7977632805219,115.80372786579683,42.66691519105312,33.40264547737639,5.734203168685927,106.53643988816403,42.25087864607768,7.102889095992544,2.7912398220903847,69.30755638397018
AJ Allmendinger,5,33,47.24,19.22934847072778,20.05193594848767,19.684063373718548,7.036855036855037,31.166398373294925,19.64000931966449,-0.6417859866135728,111.17978480047445,111.82157078708802,38.7881047191392,30.366041343069444,5.303821062441752,96.85130898924002,38.40988967825243,6.457171905447767,2.537490747354895,67.30141489451835
AJ Allmendinger,6,27,71.21000000000001,20.3984790464036,20.03207307838171,18.171797126294997,6.508267263072225,30.897551979165357,18.605620454344223,-1.0862397315487498,106.14442429739435,107.2306640289431,37.428135972078145,31.50397918562644,5.115434062516366,93.2912987949035,41.83623503838344,6.089474687659858,2.5761836132782987,69.70564017984984
AJ Allmendinger,7,24,62.67333333333334,20.906357067173833,20.495295717466274,19.054000411644164,7.661645433520803,30.990388080491094,19.378010751158797,-1.1417871734272615,100.44965981998449,101.59144699341174,34.51897566685204,29.01448118409811,4.876251016147564,86.04312973023734,38.49603065561077,5.61877823447437,2.373580881740357,67.77069510101276
AJ Allmendinger,10,33,57.7475,21.113649592279035,21.6488421820411,19.884426367035655,8.724053423513151,31.372715918527817,20.087990401268804,-0.28057839677227064,94.82068518546929,95.10126358224156,32.03027570358291,26.884789817887658,5.277455685161671,79.84253705316888,35.63858532687294,5.216111443081243,2.200260281417676,65.91624435987471
AJ Allmendinger,14,10,61.5875,21.941155974908554,21.421582431877454,18.585456682082718,8.201902801968835,31.343093022789912,19.98939829321801,-1.7690324877549661,91.68296280932185,93.45199529707682,31.175267483141965,27.802267533308374,5.192120147164908,87.37566489114973,37.18496123014965,4.867987820375007,2.0504167965223847,65.72698622953548
AJ Allmendinger,15,19,53.75,21.080519116385556,22.32424960411795,18.553096904348507,8.228008345283886,31.592483858228768,20.058200441128665,0.09755746099233167,92.72990802797874,92.63235056698642,30.842158258137253,27.58653070101122,4.842432365528637,85.07168643302862,36.10137165688646,4.564262942414297,1.9196839441832183,65.64650054893828
AJ Allmendinger,16,19,57.73,19.289253677905467,20.85170315740269,17.827471238953677,7.720424646497564,30.061348682332586,19.396517949857245,0.0025237979447368802,73.88875854159957,73.88623474365484,21.386237517611782,29.957321431333032,5.839731657786175,118.69726341965576,38.73540590129081,6.690528118028132,2.151122747585476,66.79832183668714
AJ Allmendinger,17,9,65.03,20.772979261786354,21.330558023457737,18.913358975109986,7.707706954259184,31.246998576961154,19.718512444449466,-0.2625996934231094,90.71600916146016,90.97860885488328,31.462447952093463,29.506465751080647,4.323503498504115,88.40453162302981,37.34625431914034,4.060614871565977,1.702897787845914,65.90155772359915
AJ Allmendinger,19,16,69.71249999999999,19.25116237548076,20.241493554491434,17.473736127576213,7.335672580949009,29.556029437013194,19.04432651169358,0.6428139023484848,75.1096979302159,74.46688402786742,24.046250082110035,32.482297285886226,5.413383390692979,123.94584823762014,40.5433431353693,6.2200754689625,1.9998639265755151,67.30389617959862
